,year,id,journal,authors,title
3007,1995,B437,Nucl. Phys.,Theron & Schaposnik & Scholtz & Geyer,Non-abelian bosonization from factored coset models in path integrals
3008,1995,D51,Phys.Rev.,Cadoni & Mignemi,Non-singular four-dimensional black holes and the Jackiw-Teitelboim  theory
3009,1995,B435,Nucl.Phys.,Yung & Batchelor,Integrable vertex and loop models on the square lattice with open  boundaries via reflection matrices
3010,1995,A28,J.Phys.,Strachan,The Moyal bracket and the dispersionless limit of the KP hierarchy
3011,1995,A10,Mod. Phys. Lett.,Mangazeev & Sergeev & Stroganov,New solution of vertex type tetrahedron equations
3012,1995,D51,Phys.Rev.,Gregory & Laflamme,Evidence for the Stability of Extremal Black p-Branes
3013,1995,A10,Int. J. Mod. Phys.,Rajeev & Turgut,Poisson Algebra of Wilson Loops in Four-Dimensional Yang-Mills Theory
3014,1995,B437,Nucl.Phys.,Gross & Matytsin,Some Properties of Large $N$ Two Dimensional Yang--Mills Theory
3015,1994,D50,Phys.Rev.,Lee & Min,Bogomol'nyi equations for solitons in Maxwell-Chern-Simons gauge  theories with the magnetic moment interaction term
3016,1995,B352,Phys. Lett.,Zeitlin,QED$_{2+1}$ with Nonzero Fermion Density and Quantum Hall Effect
3017,1995,D51,Phys.Rev.,Kogan & Kovner,Compact QED$_3$ - a simple example of a variational calculation in a  gauge theory
3018,1995,B351,Phys.Lett.,Kumar & Ray,Thermodynamics of Two Dimensional Black Holes
3019,1994,A27,J.Phys.,Martins & Ramos,A note on graded Yang-Baxter solutions as braid-monoid invariants
3020,1995,B356,Phys. Lett.,Maiani & Testa,Causality in Local Quantum Field Theory
3021,1995,D51,Phys.Rev.,Papavassiliou & Philippides & Schaden,The heavy quark decomposition of the S-matrix and its relation to the  pinch technique
3022,1995,B343,Phys.Lett.,Dorn,On gravitational dressing of renormalization group beta-functions beyond  lowest order of perturbation theory
3023,1994,N8,Riv.Nuovo Cim.,Modanese,Vacuum correlations at geodesic distance in quantum gravity
3024,1995,B440,Nucl.Phys.,Kazakov & Wynter,Large $N$ Phase Transition In The Heat Kernel On The $U(N)$ Group
3025,1994,B338,Phys.Lett.,Suzuki,Towards a Strong Coupling Liouville Gravity
3026,1995,B349,Phys.Lett.,Gepner & Kapustin,On the classification of fusion rings
3027,1995,A10,Int.J.Mod.Phys.,Ivanov,Knizhnik-Zamolodchikov-Bernard equations on Riemann surfaces
3028,1994,A9,Mod.Phys.Lett.,Sato & Suzuki,On Bogoliubov Transformation of Scalar Wave Functions in De Sitter Space
3029,1995,B437,Nucl.Phys.,Hindmarsh & Strobl,Statistical Properties of Strings
3030,1995,D51,Phys.Rev.,Carter & Gregory,Curvature Corrections to Dynamics of Domain Walls
3031,1995,A28,J.Phys.,Boschi-Filho & Farina & Dutra,The Partition Function for an Anyon-Like Oscillator
3032,1996,C70,Z.Phys.,Elizalde & Kirsten & Kubyshin,On the instability of the vacuum in multidimensional scalar theories
3033,1995,D51,Phys.Rev.,Teitelboim,Action and Entropy of Extreme and Non-Extreme Black Holes
3034,1995,B343,Phys.Lett.,Bakas,Space Time Interpretation of S-Duality and Supersymmetry Violations of  T-Duality
3035,1995,B436,Nucl.Phys.,Dhar & Mandal & Wadia,Leading Large N Modification of QCD_2 on a Cylinder by Dynamical  Fermions
3036,1995,B445,Nucl.Phys.,Durhuus & Jonsson,Remarks on the entropy of 3-manifolds
3037,1995,D51,Phys.Rev.,Elizalde & Odintsov & Romeo,Improved Effective Potential in Curved Spacetime and Quantum Matter -  Higher Derivative Gravity Theory
3038,1995,B442,Nucl. Phys.,Barbarin & Ragoucy & Sorba,Finite W Algebras and Intermediate Statistics
3039,1995,D51,Phys.Rev.,Delfino & Mussardo & Simonetti,Correlation Functions Along a Massless Flow
3040,1995,B342,Phys. Lett.,Gracey,O(1/N^3) Conformal Bootstrap Solution of the SU(2) x SU(2)  Nambu--Jona-Lasinio Model
3041,1995,A10,Mod.Phys.Lett.,Kim & Park & Kim & Kim,Successive Superalgebraic Truncations from the Four-Dimensional Maximal  Supergravity
3042,1995,B347,Phys. Lett.,Gianvittorio & Restuccia & Stephany,A New Action Principle for Witten's Topological Field Theory
3043,1995,D51,Phys.Rev.,Fry,"Fermion Determinants in Static, Inhomogeneous Magnetic Fields"
3044,1995,D52,Phys.Rev.,Larsen & Sanchez,Mass Spectrum of Strings in Anti de Sitter Spacetime
3045,1995,B347,Phys.Lett.,Arias & Restuccia,Topological Sectors of Spin 1 Theories} in 2+1 Dimensions}
3046,1995,D51,Phys.Rev.,Copeland & Lahiri & Wands,String Cosmology with a Time-Dependent Antisymmetric Tensor Potential
3047,1995,D52,Phys.Rev.,Rakowski,Topological Modes in Dual Lattice Models
3048,1995,B437,Nucl. Phys.,Bonini & D'Attanasio & Marchesini,BRS symmetry for Yang-Mills theory with exact renormalization group
3049,1995,B440,Nucl. Phys.,Dorey & Hollwood,Quantum scattering of charged solitons in the complex sine-Gordon model
3050,1995,B345,Phys.Lett.,Morris,The Renormalization Group and Two Dimensional Multicritical Effective  Scalar Field Theory
3051,1995,B442,Nucl.Phys.,Burgess & Myers & Quevedo,On Spherically Symmetric String Solutions in Four Dimensions
3052,1995,A10,Mod.Phys.Lett.,R-Monteiro & Roditi & Rodrigues & Sciuto,The Quantum Algebraic Structure of the Twisted XXZ Chain
3053,1994,B338,Phys. Lett.,Jr,Why Are There So Many N = 4 Superstrings?
3054,1995,B440,Nucl. Phys.,D'Hoker & Phong,The Box Graph In Superstring Theory
3055,1994,A9,Mod. Phys. Lett.,Ardalan & Ghezelbash,Vector-Chiral Equivalence in Null Gauged WZNW Theory
3056,1995,D51,Phys.Rev.,Gill & Rivers,The Dynamics Of Vortex And Monopole Production By Quench Induced Phase  Separation
3057,1995,C66,Z.Phys.,Chakrabarti & Jagannathan,"On a nonstandard two-parametric quantum algebra and its connections with  $U_{p,q}(gl(2))$ and $U_{p,q}(gl(1|1))$"
3058,1995,B344,Phys.Lett.,Kostov,Field Theory of Open and Closed Strings with Discrete Target Space
3059,1995,B439,Nucl. Phys.,Avan & Jevicki,Collective Hamiltonians with Kac-Moody Algebraic Conditions
3060,1995,B438,Nucl.Phys.,Hull & Townsend,Unity of Superstring Dualities
3061,1995,B345,Phys. Lett.,Malik,On $q$-Deformed Spinning Relativistic Particle
3062,1995,A10,Mod. Phys. Lett.,Nagura,Mirror Symmetry on Arbitrary Dimensional Calabi-Yau Manifold with a few  moduli
3063,1994,A9,Mod.Phys.Lett.,Lavrelashvili,Fermions in the Background of Dilatonic Sphalerons
3064,1996,A11,Int. J. Mod. Phys.,Mostafazadeh,Spectrum Degeneracy of General (p=2)--Parasupersymmetric Quantum  Mechanics and Parasupersymmetric Topological Invariants
3065,1995,B343,Phys. Lett.,Kim & Shin,Low Energy Description of Fermion Pairs in Topologically Massive  QED$_{2+1}$ with $N$ Flavours
3066,1995,A28,J.Phys.,Dayi & Duru,$sl_q(2)$ Realizations for Kepler and Oscillator Potentials and  q-Canonical Transformations
3067,1994,A9,Mod. Phys. Lett.,Odintsov & Romeo,Conformal Sector in $D=6$ Quantum Gravity
3068,1995,A28,J.Phys.,Grigore,On Equations with Universal Invariance
3069,1994,A9,Mod.Phys.Lett.,Davis,The Four-Point Function on a Surface of Infinite Genus
3070,1995,A28,J.Phys.,Delduc & Feher,Regular Conjugacy Classes in the Weyl Group and Integrable Hierarchies
3071,1995,B349,Phys.Lett.,Lalak & Niemeyer & Nilles,S-Dual Gaugino Condensation and Supersymmetry Breaking
3072,1995,B452,Nucl.Phys.,Aldazabal & Font & Ibanez & Uranga,String GUTs
3073,1995,B438,Nucl.Phys.,Petkova & Zuber,On Structure Constants of $sl(2)$ Theories
3074,1995,C66,Z. Phys.,Jacquot & Richert & Umezawa,Equations from Non-Linear Chiral Transformations
3075,1995,B351,Phys.Lett.,Marshall & Semenoff & Szabo,Critical Behaviour of a Fermionic Random Matrix Model at Large-N
3076,1995,D51,Phys.Rev.,Lowe & Strominger,Strings Near a Rindler Or Black Hole Horizon
3077,1995,B442,Nucl. Phys.,Gupta & Stern,4D Edge Currents from 5D Chern-Simons Theory
3078,1995,B343,Phys.Lett.,Montague,Continuous Symmetries of Lattice Conformal Field Theories and their  $Z_2$-Orbifolds
3079,1995,D51,Phys.Rev.,de Vega & Larsen & Sanchez,Semi-Classical Quantization of Circular Strings in De Sitter and Anti De  Sitter Spacetimes
3080,1995,A28,J.Phys.,Aldaya & Guerrero,Finite-Difference Equations in Relativistic Quantum Mechanics
3081,1995,D51,Phys.Rev.,Cabra & Rothe,Fermionic Coset Realization of the Critical Ising Model
3082,1995,B436,Nucl.Phys.,Martin & Ruiz,Higher covariant derivative Pauli-Villars regularization does not lead  to a consistent QCD
3083,1996,A11,Int.J.Mod.Phys.,Ardalan & Kaviani,Chiral Perturbation Theory in the Framework of Non-Commutative Geometry
3084,1995,B345,Phys. Lett.,Llatas & Roy,$c_M<1$ String Theory as a Constrained Topological Sigma Model
3085,1995,B435,Nucl.Phys.,Hansson & Tzani,The Heavy Quark Potential in Two-Dimentional QCD with Adjoint Matter
3086,1995,A28,J.Phys.,Lisi,A Solution of the Maxwell-Dirac Equations in 3+1 Dimensions
3087,1995,D51,Phys.Rev.,Koranda,CBR Temperature Fluctuations Induced by Gravitational Waves in a  Spatially-Closed Inflationary Universe
3088,1995,D51,Phys.Rev.,Hartle & Laflamme & Marolf,Conservation Laws in the Quantum Mechanics of Closed Systems
3089,1995,A199,Phys.Lett.,Giulini & Kiefer & Zeh,"Symmetries, superselection rules, and decoherence"
3090,1995,A10,Mod.Phys.Lett.,Giulini,Asymptotic Symmetry Groups of Long-Ranged Gauge Configurations
3091,1995,D51,Phys.Rev.,Ford & Roman,Averaged Energy Conditions and Quantum Inequalities
3092,1995,D51,Phys.Rev.,Ford,Gravitons and Lightcone Fluctuations
3093,1995,B52,Phys. Rev.,Asorey & Esteve & Falceto & Salas,Tricritical Behavior of Two-Dimensional Scalar Field Theories
3094,1995,B342,Phys.Lett.,Intriligator & Seiberg & Shenker,Proposal for a Simple Model of Dynamical SUSY Breaking
3095,1995,B342,Phys.Lett.,Siopsis,Particle Hamiltonian and Perturbative Gauge Theories
3096,1995,B439,Nucl.Phys.,Piette & Schroers & Zakrzewski,Dynamics of Baby Skyrmions
3097,1995,B440,Nucl.Phys.,Denner & Dittmaier & Weiglein,Application of the Background-Field Method to the electroweak Standard  Model
3098,1995,D51,Phys.Rev.,Farhi & Goldstone & Gutmann & Rajagopal & Singleton,Fermion Production in the Background of Minkowski Space Classical  Solutions in Spontaneously Broken Gauge Theory
3099,1995,A10,Mod.Phys.Lett.,Roy & Singh,Causal quantum mechanics treating position and momentum symmetrically
3100,1995,B446,Nucl.Phys.,Gould & Hsu,Anomalous Violation of Conservation Laws in Minkowski Space
3101,1995,B449,Nucl. Phys.,Lechtenfeld & Samuel,Four-Dimensional Twisted Group Lattices
3102,1995,A10,Mod.Phys.Lett.,Klimcik & Severa,Strings in Spacetime Cotangent Bundle and T-duality
3103,1996,A11,Int. J. Mod. Phys.,Warnaar & Pearce,A-D-E Polynomial and Rogers--Ramanujan Identities
3104,1995,B343,Phys.Lett.,Antoniadis & Odintsov,Renormalization group and logarithmic corrections to scaling relations  in conformal sector of 4D gravity
3105,1995,B345,Phys.Lett.,Jonsson & Wheater,The phase diagram of an Ising model on a polymerized random surface
3106,1995,D51,Phys.Rev.,Hamada,Recursion Relations in Liouville Gravity coupled to Ising Model  satisfying Fusion Rules
3107,1995,B440,Nucl. Phys.,Pasquinucci & Roland,On the computation of one-loop amplitudes with external fermions in 4d  heterotic superstrings
3108,1995,D51,Phys.Rev.,Hands,O(1/N_f) Corrections to the Thirring Model in 2<d<4
3109,1995,A10,Mod. Phys. Lett.,Periwal,Free energy decreases along Wilson renormalization group trajectories
3110,1995,B451,Nucl.Phys.,Gopakumar & Gross,Mastering the Master Field
3111,1995,D51,Phys.Rev.,Brax & Chemtob,Flavor changing neutral current constraints on standard-like orbifold  models
3112,1996,N3,Phys.Atom.Nucl.,V\. & P\. & A,Pseudoclassical and quantum theory of the D=2n dimensional relativistic  spinning particle with anomalous ``magnetic'' moment in the external  Yang-Mills field
3113,1995,A10,Mod. Phys. Lett.,Elizalde & Odintsov,Non-Critical Bosonic String Corrections to the Black Hole Entropy
3114,1995,B344,Phys. Lett.,Douglas,Stochastic Master Fields
3115,1995,A10,Mod. Phys. Lett.,West,Physical States and String Symmetries
3116,1995,B343,Phys. Lett.,Martin & Ruiz,Higher covariant derivative regulators and non-multiplicative  renormalization
3117,1995,B443,Nucl. Phys.,Varnhagen,Topology and Fractional Quantum Hall Effect
3118,1995,B342,Phys. Lett.,Danilov,2d gravity stress tensor and the problem of the calculation of the  multi-loop amplitudes in the string theory
3119,1995,N1,Theor.Math.Phys.,Ferreira & Olive & Saveliev,Orthogonal Decomposition of Some Affine Lie Algebras in Terms of their  Heisenberg Subalgebras
3120,1995,B441,Nucl.Phys.,Bergman & Zwiebach,The Dilaton Theorem and Closed String Backgrounds
3121,1995,B344,Phys.Lett.,Klemm & Lerche & Theisen & Yankielowicz,Simple Singularities and N=2 Supersymmetric Yang-Mills Theory
3122,1995,B439,Nucl. Phys.,Anselmi,Anomalies in Instanton Calculus
3123,1995,B443,Nucl. Phys.,Iso,Anyon Basis of c=1 Conformal Field Theory
3124,1995,B347,Phys. Lett.,Awata & Matsuo & Odake & Shiraishi,"Collective fields, Calogero-Sutherland model and generalized matrix  models"
3125,1994,C5,Int.J.Mod.Phys.,Burnel & Caprasse & Dresse,Computing the BRST Operator Used in Quantization of Gauge Theories
3126,1995,B349,Phys. Lett.,Bruegmann & Marinari,More on the exponential bound of four dimensional simplicial quantum  gravity
3127,1995,D51,Phys.Rev.,Das & Majumdar,Electromagnetic and Gravitational Scattering at Planckian Energies
3128,1995,B348,Phys.Lett.,Chen & Dunne & Haller & Lim-Lombridas,Integer Quantization of the Chern-Simons Coefficient in a Broken Phase
3129,1995,A52,Phys.Rev.,Fujikawa,Phase Operator for the Photon Field and an Index Theorem
3130,1996,A11,Mod.Phys.Lett.,Karakhanyan & Manvelyan & Mkrtchyan,Trace Anomalies and Cocycles of Weyl and Diffeomorphisms Groups
3131,1995,A10,Mod. Phys. Lett.,Aoyama & Harano,Complex-time approach for semi-classical quantum tunneling
3132,1995,A28,J.Phys.,Bresser,"All bicovariant differential calculi on Glq(3,C) and SLq(3,C)"
3133,1995,B345,Phys. Lett.,Gates & Rana,"Manifest (4,0) Supersymmetry, Sigma Models and The ADHM Instaton  Construction"
3134,1995,D51,Phys.Rev.,Choi & Shim & Song,Factorization and polarization in linearized gravity
3135,1995,A10,Int.J.Mod.Phys.,Bergshoeff & Vasiliev,The Calogero Model and the Virasoro Symmetry
3136,1996,N12,Phys.Atom.Nucl.,Tsokur & Zinoviev,Spontaneous supersymmetry breaking in N=3 supergravity with matter
3137,1995,B447,Nucl.Phys.,Lu & Pope,BRST Quantisation of the N=2 String in a Real Spacetime Structure
3138,1996,N12,Phys.Atom.Nucl.,Tsokur & Zinoviev,Spontaneous supersymmetry breaking in N = 4 supergravity with matter.
3139,1995,D52,Phys.Rev.,Navarro-Salas & Navarro & Talavera,"Diffeomorphisms, Noether Charges and Canonical Formalism in 2D Dilaton  Gravity"
3140,1995,A28,J.Phys.,Abdesselam & Arnaudon & Chakrabarti,Representations of $SO(5)_{q}$ and Non-Minimal $q$-Deformation
3141,1995,B443,Nucl.Phys.,Narayanan & Neuberger,A construction of lattice chiral gauge theories
3142,1995,D51,Phys.Rev.,Ford & Svaiter,One-Loop Renormalization of a Self-Interacting Scalar Field in Nonsimply  Connected Spacetimes
3143,1995,B345,Phys.Lett.,Linde & Linde & Mezhlumian,Do We Live in the Center of the World?
3144,1995,B441,Nucl.Phys.,Jimbo & Kedem & Kojima & Konno & Miwa,XXZ chain with a boundary
3145,1995,B343,Phys. Lett.,Dalmazi & Dutra,Free Relativistic Anyons with Canonical Spin Algebra
3146,1994,N3,Theor.Math.Phys.,Martina & Pashaev & Soliani,Chern-Simons Quantum Field Representation of Planar Ferromagnets
3147,1995,B351,Phys.Lett.,de Azcarraga & Kulish & Rodenas,On the physical contents of q-deformed Minkowski spaces
3148,1995,B347,Phys.Lett.,Ball & Haagensen & Latorre & Moreno,Scheme Independence and the Exact Renormalization Group
3149,1995,B345,Phys.Lett.,Dunne,Mass Degeneracies In Self-Dual Models
3150,1995,B348,Phys.Lett.,Das & Majumdar,Shock Wave Mixing in Einstein and Dilaton Gravity
3151,1995,B437,Nucl.Phys.,Brandt & Frenkel & Taylor,High-temperature QCD and the classical Boltzmann equation in curved  spacetime
3152,1995,A10,Int. J. Mod. Phys.,Berglund & Hubsch,"On a Residue Representation of Deformation, Koszul and Chiral Rings"
3153,1995,D51,Phys.Rev.,Aoki & Levien,Kaplan-Narayanan-Neuberger lattice fermions pass a perturbative test
3154,1995,B347,Phys. Lett.,Paunov,Dressing Transformations and the Algebraic--Geometrical Solutions in the  Conformal Affine $sl(2)$ Toda Model
3155,1995,A28,J.Phys.,Grigore,Varational Equations and Symmetries in the Lagrangian Formalism
3156,1995,D51,Phys.Rev.,Naculich & Riggs,The String Calculation of QCD Wilson Loops on Arbitrary Surfaces
3157,1996,A11,Mod.Phys.Lett.,Guruswamy & Vitale,Correlation Functions of a Conformal Field Theory in Three Dimensions
3158,1994,A9,Mod.Phys.Lett.,Kashaev,Quantum Dilogarithm as a 6j-Symbol
3159,1995,B435,Nucl.Phys.,Seiberg,Electric-Magnetic Duality in Supersymmetric Non-Abelian Gauge Theories
3160,1995,B342,Phys. Lett.,McArthur,The Berkovits-Vafa Construction and Nonlinear Realizations
3161,1995,A10,Mod. Phys. Lett.,Andrade,Some Properties of Charge-Conjugated Spinors in $D$ dimensions
3162,1995,B348,Phys. Lett.,Bastianelli & Ohta,Note on W3 Realizations of the Bosonic String
3163,1995,A10,Int.J.Mod.Phys.,Ezawa,"""Moduli Space"" of Asymptotically Anti-de Sitter Spacetimes in  (2+1)-Dimensions"
3164,1995,B347,Phys.Lett.,Bellucci & Krivonos & Sorin,"Linearizing $W_{2,4}$ and $WB_2$ Algebras"
3165,1995,B441,Nucl.Phys.,MacKay & Watts,Quantum mass corrections for affine Toda solitons
3166,1995,D51,Phys.Rev.,Cvetic & Soleng,Naked singularities in dilatonic domain wall space-times
3167,1995,B441,Nucl.Phys.,Delius & Grisaru,Toda Soliton Mass Corrections and the Particle--Soliton Duality  Conjecture
3168,1995,A10,Int.J.Mod.Phys.,Marino,A New Quantum Vortex Operator and Its Correlation Functions
3169,1996,A11,Int.J.Mod.Phys.,Frolov & Slavnov & Sochichiu,Canonical quantization of the degenerate WZ action including chiral  interaction with gauge fields
3170,1995,B440,Nucl.Phys.,Sen,Black Hole Solutions in Heterotic String Theory on a Torus
3171,1995,B440,Nucl.Phys.,Soloviev,"Relevant Perturbations of the SU(1,1)/U(1) Coset"
3172,1995,B442,Nucl.Phys.,Burgess & Myers & Quevedo,Duality and Four-Dimensional Black Holes
3173,1995,B346,Phys.Lett.,Tseytlin,Melvin solution in string theory
3174,1995,A28,J.Phys.,Jagannathan & Jeugt\.,"Finite dimensional representations of the quantum group $GL_{p,q}(2)$  using the exponential map from $U_{p,q}(gl(2))$."
3175,1995,B346,Phys. Lett.,Barnich & Brandt & Henneaux,Conserved currents and gauge invariance in Yang-Mills theory
3176,1995,B348,Phys. Lett.,Gliozzi & Tateo,ADE functional dilogarithm identities and integrable models
3177,1995,B348,Phys. Lett.,Antonuccio & Dalley,c>1 Non-Critical Strings and Large-N Matrix Field Theory
3178,1995,B347,Phys. Lett.,Anselmi & Fre',Gauged Hyperinstantons and Monopole Equations
3179,1995,A28,J.Phys.,Bougourzi,N-point matrix elements of dynamical vertex operators of the higher spin  XXZ model
3180,1995,A28,J.Phys.,Shtykov & Vassilevich,The heat kernel for deformed spheres
3181,1995,B347,Phys. Lett.,Elizalde & Leseduarte & Odintsov,Higher Derivative Four-Fermion Model in Curved Spacetime
3182,1995,B437,Nucl.Phys.,Kraus & Wilczek,Effect of Self-Interaction on Charged Black Hole Radiance
3183,1994,A9,Mod.Phys.Lett.,Lamb & Capri & Roy,Massive particle creation in a static 1+1 dimensional spacetime
3184,1995,A10,Int.J.Mod.Phys.,Eijck & O'Connor & Stephens,Critical Temperature and Amplitude Ratios from a Finite-Temperature  Renormalization Group
3185,1995,B349,Phys.Lett.,Hooft,Lattice Regularization of Gauge Theories Without Loss of Chiral Symmetry
3186,1995,B439,Nucl. Phys.,Bassetto & Griguolo,The generalized chiral Schwinger model on the two-sphere
3187,1995,A10,Mod.Phys.Lett.,Nakazawa,On Field Theories of Loops
3188,1996,D53,Phys.Rev.,Khoudeir & Pantoja,Covariant Duality Symmetric Actions
3189,1994,A9,Mod.Phys.Lett.,Lamb & Capri & Kobayashi,Discrete spectral shift in an anisotropic universe
3190,1995,D52,Phys.Rev.,Munczek,"Dynamical Chiral Symmetry Breaking, Goldstone's Theorem and the  Consistency of the Schwinger--Dyson and Bethe--Salpeter Equations"
3191,1995,A28,J.Phys.,Delius & Gould & Links & Zhang,Solutions of the Yang-Baxter Equation with Extra Non-Additive Parameters
3192,1995,B348,Phys. Lett.,Tyurin,On Conformal Properties of the Dualized Sigma-Models
3193,1995,B438,Nucl.Phys.,Kobdaj & Thomas,Large Screening in Two Dimensional Nonabelian Vortex Systems
3194,1995,A28,J.Phys.,Arndt & Heinzel & Yung,Temperley-Lieb Words as Valence-Bond Ground States
3195,1995,B344,Phys.Lett.,de Alwis & MacIntire,Lessons of Quantum 2D Dilaton Gravity
3196,1995,L43,Class.Quant.Grav.,Torre,Some Remarks on Gravitational Analogs of Magnetic Charge
3197,1995,D51,Phys.Rev.,Louko & Whiting,Hamiltonian thermodynamics of the Schwarzschild black hole
3198,1995,D51,Phys.Rev.,Mizoguchi,The Geroch group in the Ashtekar formulation
3199,1995,D51,Phys.Rev.,Carlip & Nelson,Comparative Quantizations of (2+1)-Dimensional Gravity
3200,1996,L1,Class.Quant.Grav.,Grant,Lsdiff M and the Einstein Equations
3201,1995,B348,Phys.Lett.,Vassilevich,Heat kernel for antisymmetric tensor field on a disk
3202,1995,B349,Phys.Lett.,Marolf,Diffeomorphism Invariant Actions for Partial Systems
3203,1995,D4,Int.J.Mod.Phys.,Cavaglia` & de Alfaro & Filippov,Hamiltonian Formalism for Black Holes and Quantization
3204,1995,D52,Phys.Rev.,Anglin & Laflamme & Zurek & Paz,"Decoherence, Re-coherence, and the Black Hole Information Paradox"
3205,1995,B345,Phys.Lett.,Ambjorn & Jurkiewicz,Computational Ergodicity of $s^4$
3206,1995,B346,Phys.Lett.,Pernici,Chiral invariance and lattice fermions with minimal doubling
3207,1995,B439,Nucl.Phys.,Ambjorn & Thorleifsson & Wexler,New critical phenomena in 2d quantum gravity
3208,1995,D52,Phys.Rev.,Frick & Jersak,Dynamical fermion mass generation by strong gauge interaction shielded  by a scalar field
3209,1995,D52,Phys.Rev.,Bucher & Goldhaber & Turok,An Open Universe from Inflation
3210,1995,D51,Phys.Rev.,Dashen & Jenkins & Manohar,Spin-Flavor Structure of Large N Baryons
3211,1996,D54,Phys.Rev.,Tinyakov & Mottola & Habib,Finite Energy Instantons in the O(3) Non-Linear Sigma Model
3212,1995,B438,Nucl.Phys.,Garriga & Vachaspati,Zero Modes on Linked Strings
3213,1995,B347,Phys.Lett.,Brax & Ellwanger & Savoy,Supersymmetric Models with a Gauge Singlet and Non-Universal Soft Terms  from Orbifold String Theory
3214,1995,D52,Phys.Rev.,Carter & Peter,Supersonic String Model for Witten Vortices
3215,1995,B447,Nucl.Phys.,Louis & Nir,Some Phenomenological Implications of String Loop Effects
3216,1995,D51,Phys.Rev.,Nieves & Pal,Thermal Self-Energies at Zero Momentum
3217,1995,B439,Nucl.Phys.,Julia & Nicolai,Null Killing Vector Dimensional Reduction and Galilean Geometrodynamics
3218,1995,B445,Nucl.Phys.,Lambert,Topological Massive Sigma Models
3219,1995,N3,Theor.Math.Phys.,Holod & Pakuliak,Dressing Technique for Intermediate Hierarchies
3220,1995,A10,Int. J. Mod. Phys.,Cima & de Carvalho,Some Quantum Aspects of Complex Vector Fields with Chern-Simons Term
3221,1995,D52,Phys.Rev.,Siegel,Super Multi-Instantons in Conformal Chiral Superspace
3222,1995,D51,Phys.Rev.,Kumar & Ray,Entropy of Extremal Black Holes in Two Dimensions
3223,1998,A13,Int.J.Mod.Phys.,Itzhaki,Some Interesting Properties of Field theories with an Infinite Number of  Fields
3224,1995,A10,Mod.Phys.Lett.,Aizawa & Sachse & Sato,Laughlin states on the sphere as representations of Uq(sl(2))
3225,1995,B443,Nucl.Phys.,Wipf & Duerr,Gauge Theories in a Bag
3226,1995,A10,Int.J.Mod.Phys.,Ishikawa & Iwama & Miyazaki & Yamanobe,Interacting open p-branes
3227,1996,B365,Phys.Lett.,Fursaev & Solodukhin,On one-loop renormalization of black-hole entropy
3228,1996,C69,Z.Phys.,Boguszynski & Dahmen & Kretschmer & Lukaszuk & Latex & 94-15,Collinear Asymptotic Dynamics for Massive Particles. Reggeization and  Eikonalization
3229,1995,D52,Phys.Rev.,Banerjee & Ghosh,Interacting anyons and the Darwin Lagrangian
3230,1995,A10,Int.J.Mod.Phys.,Mukherjee,2d Gravity Coupled to Topological Minimal Models
3231,1995,A10,Int.J.Mod.Phys.,Kar & Maharana,Planckian Scattering of Non-abelian Gauge Particles
3232,1995,A10,Mod.Phys.Lett.,Khorrami & Shariati & Abolhassani & Aghamohammadi,A Triangular Deformation of the two Dimensional Poincare Algebra
3233,1995,B452,Nucl. Phys.,Galperin & Sokatchev,Manifest supersymmetry and the ADHM construction of instantons
3234,1995,A10,Mod. Phys. Lett.,Kreuzer & Skarke,Landau-Ginzburg orbifolds with discrete torsion
3235,1995,B446,Nucl.Phys.,Lee & Urosevic,Perturbative Calculations in the Effective Lagrangian and $2D$ Closed  String Field Theory
3236,1995,A28,J.Phys.,Grabowski & Mathieu,Integrability Test for Spin Chains
3237,1995,A10,Int. J. Mod. Phys.,Oehme,Analytic Structure of Amplitudes in Gauge Theories with Confinement
3238,1995,A10,Mod.Phys.Lett.,Lamb & Capri & Kobayashi,Finite particle creation in 3+1 de Sitter space
3239,1995,D51,Phys.Rev.,Song,S matrix of collective field theory
3240,1995,A28,J.Phys.,Fewster,Generalised Point Interactions for the Radial Schrodinger Equation via  Unitary Dilations
3241,1995,B347,Phys. Lett.,D'Hoker & Sikivie & Kanev,Casimir Forces between Beads on Strings and Membranes
3242,1995,B445,Nucl. Phys.,Hollowood & Miramontes & Park,Massive Integrable Soliton Theories
3243,1995,A10,Mod.Phys.Lett.,Smirnov,Asymptotic Expansions in Momenta and Masses and Calculation of Feynman  Diagrams
3244,1995,C67,Z.Phys.,Smirnov,"Differential Renormalization, the Action Principle and Renormalization  Group Calculations"
3245,1995,D52,Phys.Rev.,Sfetsos,"Stochastic Tachyon Fluctuations, Marginal Deformations and Shock Waves  in String Theory"
3246,1995,B52,Phys.Rev.,Fraga & Carvalho,Thermal Decays in a Hot Fermi Gas
3247,1997,C76,Z.Phys.,Kirsten & Kubyshin,Amplification of the scattering cross section due to non-trivial  topology of the spacetime
3248,1995,D51,Phys.Rev.,Poletti & Twamley & Wiltshire,Charged Dilaton Black Holes with a Cosmological Constant
3249,1996,B388,Phys.Lett.,Schimmrigk,Scaling Behavior in String Theory
3250,1995,B457,Nucl.Phys.,Govindarajan,Higher dimensional uniformisation and W-geometry
3251,1995,A10,Int. J. Mod. Phys.,Gaido & Lust,Gaugino Condensation in the Chiral and Linear Representation of the  Dilaton
3252,1996,A29,J.Phys.,Cicuta & Molinari & Montaldi & Stramaglia,A Matrix Model for Random Surfaces with Dynamical Holes
